Продукт,Категория
прокладки ежедневные,"Красота, гигиена, бытовая химия"
средство чистящее,"Красота, гигиена, бытовая химия"
продукт йогуртный,"Молоко, сыр, яйца"
ошейник,Зоотовары
тушь для ресниц,"Красота, гигиена, бытовая химия"
набор игровой,Товары для мам и детей
орех,"Соусы, орехи, консервы"
филе цыпленка,"Птица, мясо, деликатесы"
сырок глазированный,"Молоко, сыр, яйца"
полотенца бумажные,"Красота, гигиена, бытовая химия"
цыпленок,"Птица, мясо, деликатесы"
семечки,"Соусы, орехи, консервы"
винный напиток,Алкоголь
носки,"Красота, гигиена, бытовая химия"
квас,"Воды, соки, напитки"
сухарики ржаные,"Хлеб, сладости, снеки"
крабовые палочки,"Рыба, икра"
лак для ногтей,"Красота, гигиена, бытовая химия"
удобрение,Товары для дома и дачи
гренки,"Хлеб, сладости, снеки"
хлебушек,"Хлеб, сладости, снеки"
поильник,Товары для мам и детей
средство моющее,"Красота, гигиена, бытовая химия"
текила,Алкоголь
масло моторное,"Красота, гигиена, бытовая химия"
крупа рис,"Макароны, крупы, специи"
творог мягкий,"Молоко, сыр, яйца"
игрушка для кошек,Зоотовары
средство для мытья посуды,"Красота, гигиена, бытовая химия"
полотенце махровое,Товары для дома и дачи
изюм,"Соусы, орехи, консервы"
пенка для умывания,"Красота, гигиена, бытовая химия"
тоник для лица,"Красота, гигиена, бытовая химия"
тушь,"Красота, гигиена, бытовая химия"
лаваш,"Хлеб, сладости, снеки"
сельдь филе,"Рыба, икра"
продукт кисломолочный,Товары для мам и детей
печь,Бытовая техника
лента,Товары для дома и дачи
молочный,Товары для мам и детей
корм для,Зоотовары
салат из морской капусты,"Макароны, крупы, специи"
порошок стиральный,"Красота, гигиена, бытовая химия"
молоко сгущенное,"Молоко, сыр, яйца"
кета,"Рыба, икра"
цикорий,"Чай, кофе, сахар"
семга,"Рыба, икра"
гуляш,"Птица, мясо, деликатесы"
соус майонезный,"Соусы, орехи, консервы"
полотенце,Товары для дома и дачи
кусачки,"Красота, гигиена, бытовая химия"
вермут,Алкоголь
мед,"Соусы, орехи, консервы"
масса творожная,"Молоко, сыр, яйца"
ром,Алкоголь
пряник,"Хлеб, сладости, снеки"
консервы для собак,Зоотовары
минтай,"Рыба, икра"
комплект пылесборников,Бытовая техника
соска,Товары для мам и детей
бутылочка,Товары для мам и детей
фундук,"Соусы, орехи, консервы"
молочко для тела,"Красота, гигиена, бытовая химия"
настойка,Алкоголь
игрушка для собак,Зоотовары
карандаш для глаз,"Красота, гигиена, бытовая химия"
джин,Алкоголь
скраб для лица,"Красота, гигиена, бытовая химия"
сырок творожный,"Молоко, сыр, яйца"
резинка для волос,"Красота, гигиена, бытовая химия"
лепешки,"Хлеб, сладости, снеки"
фольга,Другое
антифриз,"Красота, гигиена, бытовая химия"
нагрудник,Товары для мам и детей
голень цыпленка,"Птица, мясо, деликатесы"
жидкость для розжига,Дача и гриль
горшок для цветов,Товары для мам и детей
доска гладильная,"Красота, гигиена, бытовая химия"
плед,Товары для дома и дачи
пластины,Дача и гриль
одеяло,Товары для дома и дачи
помада,"Красота, гигиена, бытовая химия"
штора,"Красота, гигиена, бытовая химия"
покрывало,Товары для дома и дачи
чехол,Товары для дома и дачи
туалетная вода,"Красота, гигиена, бытовая химия"
пустышка,Товары для мам и детей
книжка,Товары для мам и детей
пакеты,Дача и гриль
гольфы,"Красота, гигиена, бытовая химия"
корм для щенков,Зоотовары
биопродукт кисломолочный,"Молоко, сыр, яйца"
сидр,Алкоголь
тефтели,"Соусы, орехи, консервы"
напиток безалкогольный,Алкоголь
лакомство для грызунов,Зоотовары
резинки,Другое
попкорн,"Хлеб, сладости, снеки"
концентрат,Товары для дома и дачи
огурец,"Соусы, орехи, консервы"
пластырь,Дача и гриль
украшение новогоднее,Товары для дома и дачи
расческа,"Красота, гигиена, бытовая химия"
антиперспирант-карандаш,"Красота, гигиена, бытовая химия"
какао-напиток,"Чай, кофе, сахар"
масло сливочное,"Молоко, сыр, яйца"
антиперспирант шариковый,"Красота, гигиена, бытовая химия"
кофе молотый,"Чай, кофе, сахар"
кассеты для бритья,"Красота, гигиена, бытовая химия"
крем-мыло жидкое,"Красота, гигиена, бытовая химия"
сменный баллон для,"Красота, гигиена, бытовая химия"
щетка для волос,Товары для дома и дачи
крем детский,Товары для мам и детей
краска-уход для волос,"Красота, гигиена, бытовая химия"
бальзам-ополаскиватель для волос,"Красота, гигиена, бытовая химия"
сыр творожный,"Молоко, сыр, яйца"
гель-уход для душа,"Красота, гигиена, бытовая химия"
гель для умывания,"Красота, гигиена, бытовая химия"
био,"Молоко, сыр, яйца"
творог детский,"Молоко, сыр, яйца"
чай детский,Товары для мам и детей
сухая смесь,"Макароны, крупы, специи"
масло сладко-сливочное,"Молоко, сыр, яйца"
чай травяной,"Чай, кофе, сахар"
батончик мюсли,"Хлеб, сладости, снеки"
палочки ватные,"Красота, гигиена, бытовая химия"
напиток соевый,"Воды, соки, напитки"
чулки,Товары для дома и дачи
ароматизатор автомобильный,Товары для дома и дачи
трусы женские,Товары для дома и дачи
соска-пустышка,Товары для мам и детей
донат,"Хлеб, сладости, снеки"
подследники,Товары для дома и дачи
обувь домашняя,Товары для дома и дачи
запеканка творожная,"Молоко, сыр, яйца"
заменитель сахара,"Макароны, крупы, специи"
трусы мужские,Товары для дома и дачи
стики табачные,Товары для дома и дачи
сыворотка для лица,"Красота, гигиена, бытовая химия"
поводок для собак,Зоотовары
шлейка для собак,Зоотовары
ошейник для собак,Зоотовары
дождевик для собак,Зоотовары
толстовка для собак,Зоотовары
витамины,Зоотовары
шампунь-кондиционер,Зоотовары
подстилки,Зоотовары
лакомство для птиц,Зоотовары
корм для птиц,Зоотовары
миска для животных,Зоотовары
корм для грызунов,Зоотовары
паста ореховая,"Хлеб, сладости, снеки"
украшение,Товары для дома и дачи
зубная щетка детская,Товары для мам и детей
мыло туалетное,"Красота, гигиена, бытовая химия"
мешки,"Красота, гигиена, бытовая химия"
наматрасник,Товары для мам и детей
тональный крем,"Красота, гигиена, бытовая химия"
виши,"Красота, гигиена, бытовая химия"
капли,Зоотовары
librederm,"Красота, гигиена, бытовая химия"
vichy,"Красота, гигиена, бытовая химия"
корм для рыб,Зоотовары
щетка зубная,Товары для мам и детей
хлебцы хрустящие,"Хлеб, сладости, снеки"
чашка-поильник,Товары для мам и детей
изд :,Товары для мам и детей
мед-суфле,"Соусы, орехи, консервы"
формовая игрушка,Товары для дома и дачи
лакомые,Зоотовары
"изд ""мозаика-синтез""",Товары для мам и детей
полотенце банное,Товары для дома и дачи
цветы георгина,Товары для дома и дачи
развивающая,Товары для мам и детей
оттеночный бальзам,"Красота, гигиена, бытовая химия"
читаем детям,Товары для мам и детей
новогоднее подвесное украшение,Товары для дома и дачи
"изд ""росмэн""",Товары для мам и детей
мягкая игрушка,Товары для мам и детей
аппликация,Товары для мам и детей
игрушка мягкая,Товары для мам и детей
напиток газированный,"Воды, соки, напитки"
изд,Товары для дома и дачи
керамический горшок,Товары для дома и дачи
набор для двоих,Подборки и готовые блюда
календарь 2019,Товары для дома и дачи
набор шаров,Товары для дома и дачи
новогодний,"Хлеб, сладости, снеки"
кашпо-горшок,Товары для дома и дачи
игра настольная,Товары для мам и детей
колготки детские,Товары для мам и детей
коврик-раскраска,Товары для мам и детей
"изд ""клевер""",Товары для мам и детей
cыр,"Молоко, сыр, яйца"
корм влажный,Зоотовары
смесь молочная сухая,Товары для мам и детей
"изд ""мозаика-синтез""",Товары для мам и детей
картина,Товары для мам и детей
халат махровый,Товары для дома и дачи
вазон,Товары для дома и дачи
фигурка,Товары для мам и детей
носки детские,Товары для мам и детей
ломтики,"Соусы, орехи, консервы"
одежда для куклы,Товары для мам и детей
краюшки,"Хлеб, сладости, снеки"
пакет,Другое
плюшка,"Хлеб, сладости, снеки"
каравай,"Хлеб, сладости, снеки"
винегрет,Подборки и готовые блюда
диски ватные,"Красота, гигиена, бытовая химия"
судак,"Рыба, икра"
паприка,"Макароны, крупы, специи"
мандарины,"Овощи, фрукты, ягоды"
пломбир,Замороженные продукты
груши,"Овощи, фрукты, ягоды"
журнал,Другое
сельдерей,"Овощи, фрукты, ягоды"
груша,"Овощи, фрукты, ягоды"
кинза,"Овощи, фрукты, ягоды"
лавровый лист,"Макароны, крупы, специи"
зелень,"Овощи, фрукты, ягоды"
резинка,Другое
лимонная кислота,"Макароны, крупы, специи"
авокадо,"Овощи, фрукты, ягоды"
айва,"Овощи, фрукты, ягоды"
газета,Другое
голубика,"Овощи, фрукты, ягоды"
закусочка,"Хлеб, сладости, снеки"
земля,Товары для дома и дачи
кабачок,"Овощи, фрукты, ягоды"
киндер,"Хлеб, сладости, снеки"
коре,"Птица, мясо, деликатесы"
купон,Другое
куркума,"Макароны, крупы, специи"
лепешка,"Хлеб, сладости, снеки"
лимон,"Овощи, фрукты, ягоды"
мята,"Овощи, фрукты, ягоды"
окорочек,"Птица, мясо, деликатесы"
оладьи,Подборки и готовые блюда
пирожное,"Хлеб, сладости, снеки"
пленка пищевая,Другое
посыпка,Другое
рожок,"Хлеб, сладости, снеки"
свечи,Другое
сигареты,Другое
слива,"Овощи, фрукты, ягоды"
смородина,"Овощи, фрукты, ягоды"
снежок,"Молоко, сыр, яйца"
снек,"Хлеб, сладости, снеки"
сода,"Чай, кофе, сахар"
спаржа,"Овощи, фрукты, ягоды"
стик,Другое
стики,Другое
сушка,"Хлеб, сладости, снеки"
телятина,"Птица, мясо, деликатесы"
томат,"Овощи, фрукты, ягоды"
черешня,"Овощи, фрукты, ягоды"
чиабатта,"Хлеб, сладости, снеки"
апельсины,"Овощи, фрукты, ягоды"
томаты,"Овощи, фрукты, ягоды"
