name_norm,Категория
колбаски велком  пиву,"Птица, мясо, деликатесы"
мармелад апельсиновые палочки апельтини шоколаде,"Хлеб, сладости, снеки"
пенка &  очищающая экстрактом алоэ,"Красота, гигиена, бытовая химия"
удлинитель  розетки без выключателя,Бытовая техника
стиральный порошок   альпийская свежесть автомат,Товары для дома и дачи
"макаронные изделия грибочки"" три цвета"" томатами шпинатом","Соусы, орехи, консервы"
тоник    смягчающий,"Красота, гигиена, бытовая химия"
чистящее средство морской бриз кухни универсальное,Товары для дома и дачи
"печенье витаминное  ""утреннее"" ""сэндвич"" цельными злаками йогуртовой начинкой","Хлеб, сладости, снеки"
сосиски молочные,"Птица, мясо, деликатесы"
йогурт натуральный,"Молоко, сыр, яйца"
соус    устричный,"Соусы, орехи, консервы"
крыло цыпленка бройлера остром соусе,"Птица, мясо, деликатесы"
сыворотка   сухих волос,"Красота, гигиена, бытовая химия"
чай черный ароматизированый земляника,"Чай, кофе, сахар"
печенье эльзасское кусочками яблок изюмом,"Хлеб, сладости, снеки"
лак волос   нежность кашемира мегафиксация,"Красота, гигиена, бытовая химия"
"смесь сухая  пепти аллергия """" пребиотиками питания детей рождения",Товары для мам и детей
пенка мусс умывания чёрный жемчуг нормальной комбинированной кожи,"Красота, гигиена, бытовая химия"
карандаши цветные      цветных карандашей индивидуальным ластиком ластик точилка,Товары для мам и детей
пельмени паприкой замороженные,Подборки и готовые блюда
мороженое пломбир мраморный фисташковый,"Молоко, сыр, яйца"
утюг   ,Товары для дома и дачи
каша   кукурузная пребиотиками без глютена,Товары для мам и детей
газированный напиток  дюшес,"Воды, соки, напитки"
набор  дизайн студия  лесу элемента,Товары для мам и детей
соус     ,"Соусы, орехи, консервы"
клубника отборная сиропе,"Соусы, орехи, консервы"
десерт творожок клубника,"Молоко, сыр, яйца"
пюре яблок персиков сливками детей месяцев,Товары для мам и детей
сухой корм собак      ягненок рис,Зоотовары
"сардина "" "" атлантическая натуральная добавлением масла","Рыба, икра"
"печенье """"  карамелью песочное","Хлеб, сладости, снеки"
"бальзам волос  бибеrika ""шелковые косы"" легкое расчесывание",Товары для мам и детей
"""росмэн"" зерцалия тетрагон",Товары для мам и детей
чай  черный индийский завтрак,"Чай, кофе, сахар"
лакомство кошек   подушечки здоровье активность курица сыр,Зоотовары
крем сыр    ,"Молоко, сыр, яйца"
шампунь   ,Товары для мам и детей
набор конфет шоколадных,"Хлеб, сладости, снеки"
соска пустышка  самых маленьких мес сосок кольцо силикон,Товары для мам и детей
каша овсяная без варки черника,"Макароны, крупы, специи"
кондиционер  кокосовым кремом кератином увлажнение питание,"Красота, гигиена, бытовая химия"
соль пищевая пряностями,"Чай, кофе, сахар"
кондиционер волос  против ломкости волос кератиновым маслом,"Красота, гигиена, бытовая химия"
жевательная резинка прохладная мята,"Хлеб, сладости, снеки"
чай  чай индийский ассам черный длиннолистовой,"Чай, кофе, сахар"
"сельдь "" "" по исландски филе кусочки беловинной заливе","Рыба, икра"
соус сэндвич соус бутербродов закусок,"Соусы, орехи, консервы"
пельмени классические снежная страна,Замороженные продукты
макароны    капелини,"Соусы, орехи, консервы"
смесь молочная стерилиз последующая нутрилак ,Товары для мам и детей
шампунь уход  экстрактом проса нормальных волос,"Красота, гигиена, бытовая химия"
стол   ,Товары для дома и дачи
клей силикатный  флакон дозатором,Другое
освежитель воздуха   автоматический распылитель сменный баллон нежность шелка лилии,Товары для дома и дачи
напиток яблоко липой ромашкой месяцев,Товары для мам и детей
слойка венский конвертик брусникой яблоком,"Хлеб, сладости, снеки"
корм кошек    океаническая рыба,Зоотовары
соус горчичный,"Молоко, сыр, яйца"
крючок  легкоудаляемый рамок,Товары для дома и дачи
пиво хейнекен фильтрованное пастеризованное,Алкоголь
спрей волос утюжок выпрямляющий термозащитный,"Красота, гигиена, бытовая химия"
паста   тom  кисло сладкая,"Соусы, орехи, консервы"
ополаскиватель  полости рта  ,"Красота, гигиена, бытовая химия"
чипсы кокосовые,"Соусы, орехи, консервы"
"мармелад ""чудо ягода"" нежный вкус яблока апельсина дыни","Хлеб, сладости, снеки"
ручки  блист,Другое
мармелад дикий сад,"Хлеб, сладости, снеки"
бекон американский сырокопченый,"Птица, мясо, деликатесы"
конфитюр  клубника ягод,"Соусы, орехи, консервы"
шампунь  ультра увлажнения волос экстрактом орхидеи маслом белого трюфеля,"Красота, гигиена, бытовая химия"
молоко обогащенное детей месяцев,Товары для мам и детей
лампа светодиодная   шар теплый,Другое
прокладки ежедневные  мультиформ  летняя свежесть,"Красота, гигиена, бытовая химия"
книга кизима экспресс школа чудо грядки копаем урожай собираем,Другое
пенал книжка    ,Товары для мам и детей
набор бокалов красного вина    ,Товары для дома и дачи
средство мытья полов  нежная забота,"Красота, гигиена, бытовая химия"
фонарь  светодиодный кемпинговый,Товары для дома и дачи
зубная паста    антикариес кальци стат,"Красота, гигиена, бытовая химия"
сыр  лесными грибами,"Молоко, сыр, яйца"
корм собак дичь,Зоотовары
обувь домашняя  женская,Товары для дома и дачи
"""росмэн""олимпийский деревня дедморозовка усачев",Товары для дома и дачи
спрей  цветной солнцезащитный увлажняющий ,Товары для мам и детей
сосиски мясной дом молочные,"Птица, мясо, деликатесы"
ополаскиватель рта   лечебные травы,"Красота, гигиена, бытовая химия"
корм   кошек порция курицей,Зоотовары
гель   купания  ,Товары для мам и детей
соль  мельница,"Чай, кофе, сахар"
капуста  оригинал суши листов,Подборки и готовые блюда
сыр    ,"Молоко, сыр, яйца"
леденцы  вкусом меда лимона,"Хлеб, сладости, снеки"
матрас надувной,Дача и гриль
паштет  гусиной печени,"Соусы, орехи, консервы"
базилик василиск,Товары для дома и дачи
карандаш `   глазурь итальянский эспрессо двусторонний,"Красота, гигиена, бытовая химия"
курага сушеная,"Овощи, фрукты, ягоды"
колбаса ливерная традиционная пгн,"Птица, мясо, деликатесы"
напиток  кокосовый рисом,"Молоко, сыр, яйца"
салат   капуста клюквой,Подборки и готовые блюда
крем рук ногтей доктор,"Красота, гигиена, бытовая химия"
конфеты слива шоколадной глазури,"Хлеб, сладости, снеки"
напиток сокосодержащий яблоко вишня,Товары для мам и детей
печенье  кусочками шоколада ореховым кремом,"Хлеб, сладости, снеки"
корм собак мясное говядина отборная,Зоотовары
папка  черчения,Товары для мам и детей
чай  ароматом саусэпа,"Чай, кофе, сахар"
"вода ""эдельвейс"" минеральная лечебно столовая газированная","Воды, соки, напитки"
лампа светодиодная старт   шарообразная,Товары для дома и дачи
пюре  спагетти фрикадельками говядины детей месяцев,Товары для мам и детей
йогурт фруктовый вкусом черника малина,"Молоко, сыр, яйца"
кондиционер     восстанавливающий,"Красота, гигиена, бытовая химия"
корм кошек желе лососем добавлением трески,Зоотовары
крем ног    восстанавливающий,"Красота, гигиена, бытовая химия"
кондиционер    парфюмированный всех типов волос,"Красота, гигиена, бытовая химия"
краска волос    морозный шоколад,"Красота, гигиена, бытовая химия"
пудинг  ,"Молоко, сыр, яйца"
презервативы     сверхчувствительные контурные анатомической формы,"Красота, гигиена, бытовая химия"
краска волос артколор  медный каштан,"Красота, гигиена, бытовая химия"
шампунь волос  & восстановление забота,"Красота, гигиена, бытовая химия"
хлопья смесь злаковый коктейль,"Соусы, орехи, консервы"
вино   мегобари оджалеши красное полусладкое,Алкоголь
маска лица   увлажняющая,"Красота, гигиена, бытовая химия"
печенье ,Товары для мам и детей
книга устинова призрак канта,Другое
колбаса чикен салями сырокопченая полусухая,"Птица, мясо, деликатесы"
игрушка собак  косточка экстра жесткая ароматом говядины,Зоотовары
книга спаркс  последняя песня,Другое
пюре  овощной салатик,Товары для мам и детей
сыр сheese  эмменталер,"Молоко, сыр, яйца"
жидкость корректирующая водной основе,Другое
питьевой биойогурт черника,"Молоко, сыр, яйца"
напиток кисломолочный имунеле   тутти фрутти,"Молоко, сыр, яйца"
влажные салфетки  детей  ,Товары для мам и детей
кассета жесткой воды,Товары для дома и дачи
полотенце махровое      бирюзовый,Товары для дома и дачи
пюре яблок гипоаллергенное месяцев,Товары для мам и детей
салфетки     влажные,Товары для мам и детей
мыло жидкое '  маленьких непосед,Товары для мам и детей
гель душа  канкунский кактус,"Красота, гигиена, бытовая химия"
кондиционер   блеска волос экстрактом огурца алоэ,"Красота, гигиена, бытовая химия"
книга кафе краю земли как перестать плыть течению вспомнить зачем живешь,Другое
"формовая игрушка  ""свинка мальчик",Товары для дома и дачи
пинцет  прямой   ,"Красота, гигиена, бытовая химия"
масло волос   камелия,"Красота, гигиена, бытовая химия"
пивной напиток василеостровское чехов вишневый эль непастер фильтр,Алкоголь
жевательная резинка чистое дыхание,"Хлеб, сладости, снеки"
кофе жареный зернах    темнообжаренный,"Чай, кофе, сахар"
"вода ""боржоми"" минеральная","Воды, соки, напитки"
корм кошек кроликом соусе,Зоотовары
конструктор   кинетический веселые шестеренки лет,Товары для мам и детей
котлета кокетка картофельным пюре соусом бешамель,Замороженные продукты
шампанское брют белое,Алкоголь
кисель  клубника виноград без сахара,"Воды, соки, напитки"
конфета  мини,"Хлеб, сладости, снеки"
вода питьевая,"Воды, соки, напитки"
хлеб  бурже многозерновой формовой нарезанный,"Хлеб, сладости, снеки"
йогурт клубника земляника,"Молоко, сыр, яйца"
спрей '    тонирующий мгновенного закрашивания отросших корней оттенок светлый блонд,"Красота, гигиена, бытовая химия"
кофе    классико капсулах,"Чай, кофе, сахар"
салфетки влажные антибактериальным эффектом,"Красота, гигиена, бытовая химия"
бальзам волос ревивор,"Красота, гигиена, бытовая химия"
чистящее средство стикер чистоты цитрус унитаза,Товары для дома и дачи
попкорн   приготовления свч,"Соусы, орехи, консервы"
перец  жгуче острый пеперони,"Соусы, орехи, консервы"
обувь домашняя   женская цвет серый размер,Товары для дома и дачи
уксус столовый пэт,"Макароны, крупы, специи"
сельдь филе кусочки масле укропом матье,"Рыба, икра"
лосьон снятия макияжа глазурь  экспресс,"Красота, гигиена, бытовая химия"
крем питание увлажнение лица тела,"Красота, гигиена, бытовая химия"
скребок   чистки стеклокерамических поверхностей,"Красота, гигиена, бытовая химия"
маска волос   экстремальное восстановление,"Красота, гигиена, бытовая химия"
шоколад  круглым печеньем начинкой вкусом ванили,"Хлеб, сладости, снеки"
"картина номерам ""цветочные поля",Товары для мам и детей
"набор творчества  чудо творчество квиллинг ""воздушный шар",Товары для мам и детей
капуста терияки,"Хлеб, сладости, снеки"
"макароны """" филини","Соусы, орехи, консервы"
краска '   волос оттенок розовое золото,"Красота, гигиена, бытовая химия"
перец  острый   консервированный,"Соусы, орехи, консервы"
гель  стирки  деликатных изделий шерсти шелка одежды,"Красота, гигиена, бытовая химия"
презервативы  сlassic колечками пупырышками,"Красота, гигиена, бытовая химия"
конфеты   макси болл,"Хлеб, сладости, снеки"
фен ,"Красота, гигиена, бытовая химия"
скраб  лица   клубника йогурт,"Красота, гигиена, бытовая химия"
напиток кофейный    ,"Чай, кофе, сахар"
"семечки ""от мартина"" жареные отборные","Соусы, орехи, консервы"
конфеты &   кешью персик,"Хлеб, сладости, снеки"
салат витаминный морской капусты,"Птица, мясо, деликатесы"
пена укладки волос объем корней,"Красота, гигиена, бытовая химия"
насадка     швабры,Товары для дома и дачи
яйцо куриное элитное коричневое,"Молоко, сыр, яйца"
"капли ""ирис"" кошек собак флакон",Зоотовары
подгузники       размер,Товары для мам и детей
"корм """" мясной паштет телятины кошек",Зоотовары
маркер  перманентный штук,Другое
"мыло ""русалочка""  жидкое","Красота, гигиена, бытовая химия"
колбаса прошутто сыровяленая,"Птица, мясо, деликатесы"
напиток чайный иван чай ферментированный таволгой,"Чай, кофе, сахар"
"крабовое мясо ""премиум"" охлажденное","Рыба, икра"
свеча торта цифра,Товары для дома и дачи
фломастеры    цветов,Товары для мам и детей
игрушка хваталка,Другое
подстилки животных впитывающие одноразовые суперабсорбентом,Зоотовары
набор творчества неоновая фреска,Товары для мам и детей
"бальзам  ` реанимирующий ""полное восстановление секущихся кончиков""","Красота, гигиена, бытовая химия"
торт трюфель шоколадный замороженный,"Хлеб, сладости, снеки"
порошок стиральный  авт ,"Красота, гигиена, бытовая химия"
"крупа ""националь"" булгур пшеничный","Соусы, орехи, консервы"
линейка  пластиковая прозрачная пакете европодвесом,Товары для мам и детей
паштет царицыно,"Птица, мясо, деликатесы"
напиток    газированный,"Воды, соки, напитки"
крем   увлажняющий всех типов кожи,"Красота, гигиена, бытовая химия"
"подушка беременных кормления ""печворк"" голубая",Товары для мам и детей
спрей    увлажняющий кокосовым молоком алоэ вера,"Красота, гигиена, бытовая химия"
кофе   воримый добавлением молотого пакет,"Чай, кофе, сахар"
"гель крем душа натурэль роскошная мягкость ""черная орхидея увлажняющее молочко""","Красота, гигиена, бытовая химия"
игрушка машина технопарк металл инерц    открыв двери,Товары для мам и детей
чай  черный эрл грей добавками пакетиков,"Чай, кофе, сахар"
"печенье ""каскад"" сахарное сливочное масло","Хлеб, сладости, снеки"
"набор творчества   ""солнечное лето наклейки ногти",Товары для мам и детей
игрушка собак  фрисби баскетбол латексная,Зоотовары
вода минеральная  леч стол,"Воды, соки, напитки"
пюре картофельное ирак вкусом мяса,Подборки и готовые блюда
хлеб внарезку,"Хлеб, сладости, снеки"
зубная паста клубника детей лет,Товары для мам и детей
коньяк    реми мартин подарочная упаковка,Алкоголь
макаронные изделия улитки,"Соусы, орехи, консервы"
вареники картофелем грибами,Подборки и готовые блюда
масло икорное,"Рыба, икра"
грудинка фермерская варено копченая,"Птица, мясо, деликатесы"
мыло  маслом чайного дерева,"Красота, гигиена, бытовая химия"
коврик раскраска алфавит,Товары для мам и детей
крем гель душа греческий йогурт аромат миндаля,"Красота, гигиена, бытовая химия"
конструктор   летняя шкатулка сердечко эммы деталей,Товары для мам и детей
ролик запасной универсальный одежды текстильный,"Красота, гигиена, бытовая химия"
чай    крупнолистовой,"Чай, кофе, сахар"
мороженое малина бисквит,Замороженные продукты
"гель уход душа """" питание забота","Красота, гигиена, бытовая химия"
колбаса фермерская полукопченая,"Птица, мясо, деликатесы"
напиток   манго мате женьшень,"Молоко, сыр, яйца"
сыр  моцарелла тертый,"Молоко, сыр, яйца"
трусы мужские   олени красном,Товары для дома и дачи
термос пластиковый стеклянной колбой  мя кружками,Дача и гриль
масло массажа ухода,Товары для мам и детей
прокладки      женские гигиенические ароматизированные,"Красота, гигиена, бытовая химия"
батарейка  zinс ,"Хлеб, сладости, снеки"
прокладки просто  ,"Красота, гигиена, бытовая химия"
губка обуви  черная,Товары для дома и дачи
"сменный баллон """"  сочные ягоды","Красота, гигиена, бытовая химия"
колбаса бутербродная,"Птица, мясо, деликатесы"
сыр коралл креветками,"Молоко, сыр, яйца"
картофель   варки,"Овощи, фрукты, ягоды"
вода   магнием питьвая негазированная,"Воды, соки, напитки"
стиральный порошок  сolor   универсальный,"Красота, гигиена, бытовая химия"
сэндвич датский лососем,Подборки и готовые блюда
кружка  ,Товары для дома и дачи
семга  стейк замороженный,Замороженные продукты
сидр василеостровский яблочный непастер фильтр,Алкоголь
"набор приготовления кваса ""тонизирующий""","Соусы, орехи, консервы"
контейнер  луковицы,Товары для дома и дачи
набор стаканов  смешарики крош,Товары для дома и дачи
мыло      преображающее экстрактом цветка граната,"Красота, гигиена, бытовая химия"
карамель москвичка,"Хлеб, сладости, снеки"
цыпленок бройлер охлаждать,"Птица, мясо, деликатесы"
зубная щетка  шелковые нити древесным углем черная здоровья десен мягкая зеленая,"Красота, гигиена, бытовая химия"
пирожное   бисквитное ореховое,"Молоко, сыр, яйца"
шоколад  миндалем апельсином,"Хлеб, сладости, снеки"
крупа гречневая шебекинская ядрица,"Соусы, орехи, консервы"
игрушка машинки городская техника  видов,Товары для мам и детей
пряники коровка вкусом вишневого йогурта,"Хлеб, сладости, снеки"
мука миндальная,"Макароны, крупы, специи"
батончик  шоколадный,"Хлеб, сладости, снеки"
чай  чай чай эрл грей листовой,"Чай, кофе, сахар"
капуста квашеная хреном,"Овощи, фрукты, ягоды"
вафли глазированные,"Хлеб, сладости, снеки"
форма хлеба  ,Товары для дома и дачи
"пуаре ""грушевый сидр"" игристый полусладкий непастеризованный фильтровать медоварус",Алкоголь
чипсы картофельные  соль перец,"Хлеб, сладости, снеки"
рулет ремит,"Птица, мясо, деликатесы"
ручка шариковая   ,Другое
тоник  домашних животных гипоаллергенный,Зоотовары
"напиток "" ""","Воды, соки, напитки"
блок очищения унитаза   кристальная чистота,"Красота, гигиена, бытовая химия"
"корм """" полнорационный аппетитные кусочки индейкой желе",Зоотовары
смесь   гавайская замороженная,"Овощи, фрукты, ягоды"
колбаса пера испанская вином,"Птица, мясо, деликатесы"
книга деверо очарование девственница,Другое
масло тела   косметическое,"Красота, гигиена, бытовая химия"
сыр  ветчиной порций,"Молоко, сыр, яйца"
пеленки кошек собак  ,Зоотовары
колбаса пера лионская свиная,"Птица, мясо, деликатесы"
макаронные изделия     перья,"Макароны, крупы, специи"
"батончик ""яблоко корицей"" стройности","Соусы, орехи, консервы"
крем рук cамая интенсивный увлажняющий,"Красота, гигиена, бытовая химия"
сухарики ржаные вкусом холодца хреном,"Соусы, орехи, консервы"
салфетка   кухни микрофибры голубая,"Красота, гигиена, бытовая химия"
лампа галогеновая эра    прозрачная отражателем,Товары для дома и дачи
сливочное масло   крестьянское,"Молоко, сыр, яйца"
йогурт питьевой малина,Товары для мам и детей
смесь сухая корона салата цезарь,"Соусы, орехи, консервы"
салатник лак микс,Товары для дома и дачи
"пряники ""хлебный дом"" классические","Хлеб, сладости, снеки"
тортилья  ,"Хлеб, сладости, снеки"
дезодорант мужской  невидимая защита стик,"Красота, гигиена, бытовая химия"
книга дашкова лучшее приз,Другое
шоколадные конфеты  новым годом сливочной начинкой,"Хлеб, сладости, снеки"
вино    мастро бинелли игристое розовое полусладкое,Алкоголь
крем гель душа тонизирующий,"Красота, гигиена, бытовая химия"
паста   том кха,"Соусы, орехи, консервы"
ароматизатор  белья цветок лотоса,"Красота, гигиена, бытовая химия"
средство   яблоко мытья посуды,Товары для дома и дачи
сменный баллон  автоматического освежителя воздуха пион сочные ягоды,Товары для дома и дачи
сливочное масло масленке,"Молоко, сыр, яйца"
сосиски молочные отборные,"Птица, мясо, деликатесы"
рис мистраль индика  пропаренный длиннозерный пакетиках,"Соусы, орехи, консервы"
кофе      капсульный,"Чай, кофе, сахар"
биойогурт персик личи киноа,"Молоко, сыр, яйца"
лампа  свеча прозрачная,Бытовая техника
средство  аргановым маслом уходу мебелью,"Красота, гигиена, бытовая химия"
набор женский  лак волос шик парижа экстремальное восстановление,"Красота, гигиена, бытовая химия"
фасоль красная супов гарниров,"Соусы, орехи, консервы"
крем краска  волос баклажан,"Красота, гигиена, бытовая химия"
гель стирки  автомат колор горное озеро,"Красота, гигиена, бытовая химия"
чистящее средство ванной ,"Красота, гигиена, бытовая химия"
шампунь  деготь,"Красота, гигиена, бытовая химия"
украшение   новогоднее подвесное фарфора светодиодной подсветкой,Товары для дома и дачи
корм кошек  рагу ягненком,Зоотовары
емкость продуктов  прямоуг крышкой,Другое
сок груша осветленный гипоалергенный месяцев,Товары для мам и детей
бумага  белая,Другое
маска   волос мед,"Красота, гигиена, бытовая химия"
кружка  джамбо суповая,Товары для дома и дачи
крекер   вкусом сметаны лука,"Хлеб, сладости, снеки"
зубная паста    искрящаяся белизна отбеливающая,"Красота, гигиена, бытовая химия"
дезодорант антиперспирант    & арбуз спрей,"Красота, гигиена, бытовая химия"
пельмени треской шпинатом,Замороженные продукты
"творог ""домашний"" клубникой","Молоко, сыр, яйца"
перчатки  латексные,Товары для дома и дачи
смесь пряного печенья,"Макароны, крупы, специи"
пятновыводитель ,"Красота, гигиена, бытовая химия"
полотенце кухонное рецепты,Товары для дома и дачи
продукт овсяный питьевой черника,"Молоко, сыр, яйца"
шампунь   детей лет,Товары для мам и детей
гель   стирки универсальный,"Красота, гигиена, бытовая химия"
шампунь    укрепляющий,"Красота, гигиена, бытовая химия"
корм кошек  мини филе говядиной,Зоотовары
мозаика  алмазная открытка своими руками мишка индеец,Товары для мам и детей
чай  холодный черный черника по русски,"Воды, соки, напитки"
йогурт  киви шпинат,"Молоко, сыр, яйца"
напиток чайный   пакетов,"Чай, кофе, сахар"
тушь    интенсивно черный,"Красота, гигиена, бытовая химия"
блюдо    глубокое,Товары для дома и дачи
зубная щетка  отбеливающая  жесткая,"Красота, гигиена, бытовая химия"
йогурт  питьевой бананом,"Молоко, сыр, яйца"
крем лица век вечер,"Красота, гигиена, бытовая химия"
средство стирки   детского белья,"Красота, гигиена, бытовая химия"
корм природа здоровья стерилизованных кошек кастрированных котов высоким содержанием говядины,Зоотовары
зубная паста невская косметика фтор,"Красота, гигиена, бытовая химия"
лапша ирак чан рамён вкус курицы быстрого приготовления,"Соусы, орехи, консервы"
каша овсяная клубника инулином изомальте,"Соусы, орехи, консервы"
скумбрия атлантическая филе бланшированная томатном соусе  рыбное меню,"Рыба, икра"
чай  черный  пакетиков,"Чай, кофе, сахар"
"крем лица ""самоомоложение"" ночной лет","Красота, гигиена, бытовая химия"
десерт взбитый северные ягоды брусника клюква морошка,"Молоко, сыр, яйца"
средство    восстановления ногтей экстрактом виноградной косточки,"Красота, гигиена, бытовая химия"
комплект прибор жидкость комаров ночей,"Красота, гигиена, бытовая химия"
полотенце павлопасадские мотивы хлопок дизайна,Товары для дома и дачи
шампунь  мини волос восстанавливающий аргановым маслом,"Красота, гигиена, бытовая химия"
чай черный крупнолистовой,"Чай, кофе, сахар"
кондиционер    укрепления волос,"Красота, гигиена, бытовая химия"
вермут   мартини розато сладкий розовый,Алкоголь
хлопья гречневые экстра,"Хлеб, сладости, снеки"
новогоднее подвесное украшение   снежная звездочка,Товары для дома и дачи
"скумбрия ""доброфлот"" дальневосточная натуральная добавлением масла","Рыба, икра"
карамель гусиные лапки,"Хлеб, сладости, снеки"
тарелка тчн десертная пластмассы,Другое
горбуша кусочки косичка,"Рыба, икра"
набор спонжей макияжа   велюровые,"Красота, гигиена, бытовая химия"
свинина тушеная высший сорт,"Соусы, орехи, консервы"
"картина номерам ""маковое поле",Товары для мам и детей
тесто морозко ,Замороженные продукты
чай черный чай  земляника сливками пак,"Чай, кофе, сахар"
чипсы картофельные соль,"Хлеб, сладости, снеки"
укроп карусель,Товары для дома и дачи
зубная щетка  здоровья многофункциональная средней жесткости синяя,"Красота, гигиена, бытовая химия"
колбаски свинины мюнхенские,"Птица, мясо, деликатесы"
вода минеральная природ стол пэт,"Воды, соки, напитки"
скраб тела     очищение восстановление,"Красота, гигиена, бытовая химия"
шампунь волос   магическое укрепление,"Красота, гигиена, бытовая химия"
смесь риса варочных пакетиках,"Макароны, крупы, специи"
удлинитель без заземления,Товары для дома и дачи
соус майонезный кусочками бекона,"Соусы, орехи, консервы"
порошок  смягчения воды,Товары для дома и дачи
макаронные изделия станичные перья,"Макароны, крупы, специи"
чизкейк  лайм замороженный,"Хлеб, сладости, снеки"
опята маринованные отборные,"Соусы, орехи, консервы"
"набор творчества ""шкатулки раскраски"" стразами наклейками",Товары для мам и детей
средство  чай мытья посуды,Товары для дома и дачи
крем дневной алоэ вера нормальной комбинированной кожи,"Красота, гигиена, бытовая химия"
йогурт даниссимо зия хрустящими шариками,"Молоко, сыр, яйца"
перец фаршированный мясом рисом,"Соусы, орехи, консервы"
десерт    соленая карамель,"Молоко, сыр, яйца"
корм кошек   говяд ягнен,Зоотовары
жевательная резинка   мини банка,"Хлеб, сладости, снеки"
колбаса мясной дом шварцвальдская,"Птица, мясо, деликатесы"
размораживатель стекло  триггер,Другое
чай    грин ганпаудер крупнолистовой цейлонский,"Чай, кофе, сахар"
шампунь  против перхоти серии,"Красота, гигиена, бытовая химия"
жидкость тчн комаров без запаха фумигатора ночей,Дача и гриль
губка обуви    дозатором бесцветный,"Красота, гигиена, бытовая химия"
"лосьон ""идеальная кожа"" против черных точек глубокого действия","Красота, гигиена, бытовая химия"
"мармелад натуральный ""абрикос""","Хлеб, сладости, снеки"
молоко пастер бутылка,"Молоко, сыр, яйца"
кисель   персиковый,"Воды, соки, напитки"
хлеб коломенский край,"Хлеб, сладости, снеки"
макароны   перышки рифленые,"Соусы, орехи, консервы"
мед суфле   фисташка,"Соусы, орехи, консервы"
кабель  витой  ,Бытовая техника
"соус ""миладора"" краснодарский томатный","Соусы, орехи, консервы"
семена табак душистый,Товары для дома и дачи
крем гель младенцев пантенолом,Товары для мам и детей
хрен лимоном,"Соусы, орехи, консервы"
"""мозаика синтез"" раскраска игрушка",Товары для мам и детей
чипсы  картофельные вкусом пикантного перчика чили,"Соусы, орехи, консервы"
пюре  овощной суп цыпленком,Товары для мам и детей
молочко ,Товары для мам и детей
краска    гладкой кожи темно коричневая,"Красота, гигиена, бытовая химия"
крем краска волос   красное дерево,"Красота, гигиена, бытовая химия"
